Time (ms),Voltage (V),Current (A),Torque (N*m),Speed (RPM),Efficiency (%)
42,632.00,0.00,0.00,____,_____
42,776.00,0.00,0.00,____,_____
42,592.00,0.00,0.00,____,_____
42,764.00,0.00,0.00,____,_____
42,876.00,0.00,0.00,____,_____
42,724.00,0.00,0.00,____,_____
42,956.00,0.00,0.00,____,_____
42,760.00,0.00,0.00,____,_____
43,704.00,0.00,0.00,____,_____
43,544.00,0.00,0.00,____,_____
43,788.00,0.00,0.00,____,_____
43,628.00,0.00,0.00,____,_____
43,984.00,0.00,0.00,____,_____
43,984.00,0.00,0.00,____,_____
43,392.00,0.00,0.00,____,_____
43,892.00,0.00,0.00,____,_____
43,368.00,0.00,0.59,____,_____
43,960.00,0.00,0.00,____,_____
44,584.00,0.00,0.00,____,_____
44,1012.00,0.00,0.00,____,_____
44,1036.00,0.00,0.00,____,_____
44,992.00,0.00,0.00,____,_____
44,540.00,0.00,0.00,____,_____
44,824.00,0.00,0.00,____,_____
44,740.00,0.00,0.00,____,_____
44,592.00,0.00,0.00,____,_____
44,712.00,0.00,0.00,____,_____
44,940.00,0.00,0.00,____,_____
45,620.00,0.00,0.00,____,_____
45,768.00,0.00,0.00,____,_____
45,1028.00,0.00,0.00,____,_____
45,556.00,0.00,0.00,____,_____
45,684.00,0.00,0.29,____,_____
45,680.00,0.00,0.59,____,_____
45,1020.00,0.00,0.00,____,_____
45,1024.00,0.00,0.00,____,_____
45,924.00,0.00,0.00,____,_____
46,720.00,0.00,0.00,____,_____
46,552.00,0.00,0.00,____,_____
46,636.00,0.00,0.59,____,_____
46,628.00,0.00,0.59,____,_____
46,652.00,0.00,0.59,____,_____
46,720.00,0.00,0.00,____,_____
46,712.00,0.00,0.00,____,_____
46,964.00,0.00,0.00,____,_____
46,676.00,0.00,0.00,____,_____
46,804.00,0.00,0.29,____,_____
47,928.00,0.00,0.00,____,_____
47,816.00,0.00,0.59,____,_____
47,776.00,0.00,0.00,____,_____
47,1320.00,0.00,0.00,____,_____
47,792.00,0.00,0.00,____,_____
47,676.00,0.00,0.00,____,_____
47,636.00,0.00,0.00,____,_____
47,640.00,0.00,0.00,____,_____
47,732.00,0.00,0.00,____,_____
47,536.00,0.00,0.00,____,_____
48,836.00,0.00,0.00,____,_____
48,644.00,0.00,0.00,____,_____
48,1032.00,0.00,0.00,____,_____
48,984.00,0.00,0.29,____,_____
48,500.00,0.00,0.00,____,_____
48,608.00,0.00,0.00,____,_____
48,740.00,0.00,0.00,____,_____
48,612.00,0.00,0.00,____,_____
48,380.00,0.00,0.00,____,_____
48,772.00,0.00,0.00,____,_____
49,700.00,0.00,0.00,____,_____
49,588.00,0.00,0.00,____,_____
49,744.00,0.00,0.00,____,_____
49,984.00,0.00,0.00,____,_____
49,1132.00,0.00,0.00,____,_____
49,992.00,0.00,0.00,____,_____
49,1016.00,0.00,0.00,____,_____
49,848.00,0.00,0.00,____,_____
49,896.00,0.00,0.00,____,_____
49,408.00,0.00,0.00,____,_____
50,668.00,0.00,0.00,____,_____
50,872.00,0.00,0.00,____,_____
50,780.00,0.00,0.00,____,_____
50,760.00,0.00,0.00,____,_____
50,752.00,0.00,0.00,____,_____
50,824.00,0.00,0.00,____,_____
50,752.00,0.00,0.00,____,_____
50,856.00,0.00,0.00,____,_____
50,676.00,0.00,0.00,____,_____
50,656.00,0.00,0.00,____,_____
51,1268.00,0.00,0.00,____,_____
51,820.00,0.00,0.00,____,_____
51,1256.00,0.00,0.00,____,_____
51,1048.00,0.00,0.00,____,_____
51,944.00,0.00,0.88,____,_____
51,704.00,0.00,0.00,____,_____
51,388.00,0.00,0.00,____,_____
51,1184.00,0.00,0.00,____,_____
51,544.00,0.00,0.00,____,_____
51,748.00,0.00,0.00,____,_____
52,616.00,0.00,0.00,____,_____
52,816.00,0.00,0.00,____,_____
52,672.00,0.00,0.00,____,_____
52,988.00,0.00,0.00,____,_____
52,528.00,0.00,0.00,____,_____
52,932.00,0.00,0.00,____,_____
52,636.00,0.00,0.00,____,_____
52,848.00,0.00,0.00,____,_____
52,880.00,0.00,0.00,____,_____
53,964.00,0.00,0.00,____,_____
53,768.00,0.00,0.00,____,_____
53,680.00,0.00,0.00,____,_____
53,928.00,0.00,0.00,____,_____
53,996.00,0.00,0.00,____,_____
53,820.00,0.00,0.00,____,_____
53,472.00,0.00,0.00,____,_____
53,512.00,0.00,0.00,____,_____
53,820.00,0.00,0.00,____,_____
53,652.00,0.00,0.00,____,_____
54,548.00,0.00,0.00,____,_____
54,1120.00,0.00,0.59,____,_____
54,1044.00,0.00,0.00,____,_____
54,684.00,0.00,0.00,____,_____
54,932.00,0.00,0.29,____,_____
54,1164.00,0.00,0.59,____,_____
54,748.00,0.00,0.00,____,_____
54,944.00,0.00,0.29,____,_____
54,672.00,0.00,0.00,____,_____
54,628.00,0.00,0.59,____,_____
55,668.00,0.00,0.00,____,_____
55,640.00,0.00,0.00,____,_____
55,748.00,0.00,0.00,____,_____
55,652.00,0.00,0.59,____,_____
55,560.00,0.00,0.00,____,_____
55,520.00,0.00,0.29,____,_____
55,604.00,0.00,0.00,____,_____
55,736.00,0.00,0.00,____,_____
55,872.00,0.00,0.00,____,_____
55,788.00,0.00,0.00,____,_____
56,824.00,0.00,0.00,____,_____
56,668.00,0.00,0.00,____,_____
56,1016.00,0.00,0.00,____,_____
56,1008.00,0.00,0.00,____,_____
56,1192.00,0.00,0.00,____,_____
56,636.00,0.00,0.29,____,_____
56,860.00,0.00,0.29,____,_____
56,840.00,0.00,0.00,____,_____
56,684.00,0.00,0.00,____,_____
56,872.00,0.00,0.00,____,_____
57,756.00,0.00,0.00,____,_____
57,748.00,0.00,0.00,____,_____
57,740.00,0.00,0.59,____,_____
57,816.00,0.00,0.00,____,_____
57,752.00,0.00,0.00,____,_____
57,884.00,0.00,0.00,____,_____
57,768.00,0.00,0.00,____,_____
57,888.00,0.00,0.00,____,_____
57,456.00,0.00,0.00,____,_____
57,836.00,0.00,0.00,____,_____
58,732.00,0.00,0.00,____,_____
58,852.00,0.00,0.00,____,_____
58,600.00,0.00,0.00,____,_____
58,756.00,0.00,0.00,____,_____
58,904.00,0.00,0.00,____,_____
58,816.00,0.00,0.00,____,_____
58,624.00,0.00,0.00,____,_____
58,416.00,0.00,0.00,____,_____
58,856.00,0.00,0.00,____,_____
59,788.00,0.00,0.00,____,_____
59,732.00,0.00,0.29,____,_____
59,724.00,0.00,0.00,____,_____
59,1008.00,0.00,0.59,____,_____
59,1000.00,0.00,0.00,____,_____
59,932.00,0.00,0.00,____,_____
59,808.00,0.00,0.59,____,_____
59,872.00,0.00,0.29,____,_____
59,588.00,0.00,0.00,____,_____
59,792.00,0.00,0.00,____,_____
60,396.00,0.00,0.59,____,_____
60,552.00,0.00,0.00,____,_____
60,788.00,0.00,0.00,____,_____
60,536.00,0.00,0.59,____,_____
60,672.00,0.00,0.29,____,_____
60,884.00,0.00,0.29,____,_____
60,904.00,0.00,0.00,____,_____
60,908.00,0.00,0.29,____,_____
60,1128.00,0.00,0.00,____,_____
60,664.00,0.00,0.00,____,_____
61,660.00,0.00,0.00,____,_____
61,624.00,0.00,0.59,____,_____
61,560.00,0.00,0.00,____,_____
61,508.00,0.00,0.00,____,_____
61,384.00,0.00,0.00,____,_____
61,852.00,0.00,0.29,____,_____
61,772.00,0.00,0.00,____,_____
61,356.00,0.00,0.00,____,_____
61,740.00,0.00,0.00,____,_____
61,748.00,0.00,0.00,____,_____
62,1048.00,0.00,0.00,____,_____
62,860.00,0.00,0.00,____,_____
62,744.00,0.00,0.00,____,_____
62,676.00,0.00,0.00,____,_____
62,692.00,0.00,0.00,____,_____
62,760.00,0.00,0.00,____,_____
62,984.00,0.00,0.00,____,_____
62,936.00,0.00,0.00,____,_____
62,952.00,0.00,0.00,____,_____
62,1160.00,0.00,0.00,____,_____
63,784.00,0.00,0.00,____,_____
63,840.00,0.00,0.00,____,_____
63,756.00,0.00,0.00,____,_____
63,748.00,0.00,0.00,____,_____
63,440.00,0.00,0.00,____,_____
63,976.00,0.00,0.00,____,_____
63,780.00,0.00,0.00,____,_____
63,572.00,0.00,0.59,____,_____
63,580.00,0.00,0.00,____,_____
63,1168.00,0.00,0.00,____,_____
64,812.00,0.00,0.00,____,_____
64,632.00,0.00,0.00,____,_____
64,580.00,0.00,0.00,____,_____
64,924.00,0.00,0.00,____,_____
64,724.00,0.00,0.59,____,_____
64,864.00,0.00,0.29,____,_____
64,820.00,0.00,0.29,____,_____
64,756.00,0.00,0.00,____,_____
64,820.00,0.00,0.59,____,_____
64,908.00,0.00,0.29,____,_____
65,752.00,0.00,0.29,____,_____
65,852.00,0.00,0.00,____,_____
65,756.00,0.00,0.00,____,_____
65,1052.00,0.00,0.00,____,_____
65,480.00,0.00,0.00,____,_____
65,496.00,0.00,0.00,____,_____
65,520.00,0.00,0.00,____,_____
65,768.00,0.00,0.00,____,_____
65,632.00,0.00,0.00,____,_____
66,764.00,0.00,0.00,____,_____
66,1020.00,0.00,0.00,____,_____
66,696.00,0.00,0.29,____,_____
66,788.00,0.00,0.00,____,_____
66,536.00,0.00,0.00,____,_____
66,816.00,0.00,0.00,____,_____
66,440.00,0.00,0.00,____,_____
66,644.00,0.00,0.00,____,_____
66,508.00,0.00,0.59,____,_____
66,660.00,0.00,0.00,____,_____
67,784.00,0.00,0.00,____,_____
67,948.00,0.00,0.00,____,_____
67,784.00,0.00,0.59,____,_____
67,428.00,0.00,0.00,____,_____
67,508.00,0.00,0.00,____,_____
67,496.00,0.00,0.00,____,_____
67,956.00,0.00,0.59,____,_____
67,536.00,0.00,0.00,____,_____
67,648.00,0.00,0.00,____,_____
67,792.00,0.00,0.00,____,_____
68,432.00,0.00,0.00,____,_____
68,704.00,0.00,0.00,____,_____
68,868.00,0.00,0.29,____,_____
68,624.00,0.00,0.00,____,_____
68,776.00,0.00,0.00,____,_____
68,1012.00,0.00,0.00,____,_____
68,848.00,0.00,0.00,____,_____
68,564.00,0.00,0.59,____,_____
68,652.00,0.00,0.00,____,_____
68,680.00,0.00,0.00,____,_____
69,920.00,0.00,0.00,____,_____
69,1064.00,0.00,0.59,____,_____
69,1000.00,0.00,0.29,____,_____
69,604.00,0.00,0.00,____,_____
69,924.00,0.00,0.00,____,_____
69,864.00,0.00,0.59,____,_____
69,572.00,0.00,0.29,____,_____
69,380.00,0.00,0.00,____,_____
69,1068.00,0.00,0.00,____,_____
69,788.00,0.00,0.59,____,_____
70,840.00,0.00,0.29,____,_____
70,728.00,0.00,0.00,____,_____
70,1012.00,0.00,0.00,____,_____
70,1036.00,0.00,0.00,____,_____
70,748.00,0.00,0.00,____,_____
70,568.00,0.00,0.00,____,_____
70,1112.00,0.00,0.59,____,_____
70,848.00,0.00,0.00,____,_____
70,1028.00,0.00,0.00,____,_____
70,388.00,0.00,0.00,____,_____
71,908.00,0.00,0.29,____,_____
71,792.00,0.00,0.00,____,_____
71,700.00,0.00,0.00,____,_____
71,976.00,0.00,0.00,____,_____
71,868.00,0.00,0.59,____,_____
71,872.00,0.00,0.00,____,_____
71,1152.00,0.00,0.00,____,_____
71,808.00,0.00,0.59,____,_____
71,580.00,0.00,0.00,____,_____
72,672.00,0.00,0.00,____,_____
72,876.00,0.00,0.00,____,_____
72,876.00,0.00,0.59,____,_____
72,624.00,0.00,0.00,____,_____
72,800.00,0.00,0.29,____,_____
72,704.00,0.00,0.00,____,_____
72,464.00,0.00,0.00,____,_____
72,872.00,0.00,0.00,____,_____
72,584.00,0.00,0.00,____,_____
72,956.00,0.00,0.00,____,_____
73,752.00,0.00,0.00,____,_____
73,624.00,0.00,0.00,____,_____
73,436.00,0.00,0.00,____,_____
73,772.00,0.00,0.00,____,_____
73,672.00,0.00,0.00,____,_____
73,668.00,0.00,0.59,____,_____
73,872.00,0.00,0.59,____,_____
73,952.00,0.00,0.00,____,_____
73,692.00,0.00,0.00,____,_____
73,904.00,0.00,0.59,____,_____
74,932.00,0.00,0.29,____,_____
74,996.00,0.00,0.00,____,_____
74,876.00,0.00,0.00,____,_____
74,560.00,0.00,0.59,____,_____
74,568.00,0.00,0.59,____,_____
74,892.00,0.00,0.00,____,_____
74,748.00,0.00,0.59,____,_____
74,840.00,0.00,0.00,____,_____
74,612.00,0.00,0.00,____,_____
74,600.00,0.00,0.00,____,_____
75,468.00,0.00,0.59,____,_____
75,928.00,0.00,0.00,____,_____
75,828.00,0.00,0.00,____,_____
75,760.00,0.00,0.00,____,_____
75,776.00,0.00,0.59,____,_____
75,648.00,0.00,0.29,____,_____
75,800.00,0.00,0.00,____,_____
75,768.00,0.00,0.00,____,_____
75,1036.00,0.00,0.00,____,_____
75,1120.00,0.00,0.00,____,_____
76,960.00,0.00,0.00,____,_____
76,972.00,0.00,0.00,____,_____
76,668.00,0.00,0.00,____,_____
76,636.00,0.00,0.00,____,_____
76,876.00,0.00,0.00,____,_____
76,644.00,0.00,0.00,____,_____
76,804.00,0.00,0.00,____,_____
76,848.00,0.00,0.00,____,_____
76,848.00,0.00,0.00,____,_____
76,860.00,0.00,0.00,____,_____
77,688.00,0.00,0.00,____,_____
77,544.00,0.00,0.00,____,_____
77,772.00,0.00,0.00,____,_____
77,576.00,0.00,0.00,____,_____
77,824.00,0.00,0.00,____,_____
77,928.00,0.00,0.00,____,_____
77,780.00,0.00,0.00,____,_____
77,768.00,0.00,0.00,____,_____
77,944.00,0.00,0.00,____,_____
78,768.00,0.00,0.00,____,_____
78,1376.00,0.00,0.00,____,_____
78,772.00,0.00,0.00,____,_____
78,604.00,0.00,0.00,____,_____
78,492.00,0.00,0.00,____,_____
78,604.00,0.00,0.29,____,_____
78,836.00,0.00,0.00,____,_____
78,968.00,0.00,0.59,____,_____
78,628.00,0.00,0.00,____,_____
78,792.00,0.00,0.59,____,_____
79,704.00,0.00,0.29,____,_____
79,964.00,0.00,0.00,____,_____
79,648.00,0.00,0.29,____,_____
79,960.00,0.00,0.59,____,_____
79,484.00,0.00,0.29,____,_____
79,432.00,0.00,0.00,____,_____
79,924.00,0.00,0.59,____,_____
79,956.00,0.00,0.00,____,_____
79,460.00,0.00,0.00,____,_____
79,460.00,0.00,0.00,____,_____
80,716.00,0.00,0.00,____,_____
80,984.00,0.00,0.00,____,_____
80,852.00,0.00,0.00,____,_____
80,392.00,0.00,0.00,____,_____
80,524.00,0.00,0.00,____,_____
80,728.00,0.00,0.00,____,_____
80,920.00,0.00,0.00,____,_____
80,836.00,0.00,0.00,____,_____
80,584.00,0.00,0.00,____,_____
80,696.00,0.00,0.00,____,_____
81,876.00,0.00,0.00,____,_____
81,864.00,0.00,0.59,____,_____
81,580.00,0.00,0.00,____,_____
81,724.00,0.00,0.00,____,_____
81,468.00,0.00,0.00,____,_____
81,812.00,0.00,0.59,____,_____
81,544.00,0.00,0.00,____,_____
81,476.00,0.00,0.00,____,_____
81,624.00,0.00,0.00,____,_____
81,820.00,0.00,0.59,____,_____
82,924.00,0.00,0.00,____,_____
82,700.00,0.00,0.29,____,_____
82,772.00,0.00,0.00,____,_____
82,700.00,0.00,0.59,____,_____
82,764.00,0.00,0.00,____,_____
82,744.00,0.00,0.00,____,_____
82,784.00,0.00,0.00,____,_____
82,652.00,0.00,0.59,____,_____
82,828.00,0.00,0.00,____,_____
82,568.00,0.00,0.00,____,_____
83,620.00,0.00,0.00,____,_____
83,1068.00,0.00,0.59,____,_____
83,672.00,0.00,0.00,____,_____
83,848.00,0.00,0.00,____,_____
83,440.00,0.00,0.00,____,_____
83,648.00,0.00,0.29,____,_____
83,896.00,0.00,0.00,____,_____
83,752.00,0.00,0.00,____,_____
83,756.00,0.00,0.00,____,_____
83,700.00,0.00,0.59,____,_____
84,672.00,0.00,0.29,____,_____
84,652.00,0.00,0.00,____,_____
84,884.00,0.00,0.00,____,_____
84,848.00,0.00,0.00,____,_____
84,728.00,0.00,0.00,____,_____
84,928.00,0.00,0.00,____,_____
84,608.00,0.00,0.00,____,_____
84,288.00,0.00,0.00,____,_____
84,720.00,0.00,0.00,____,_____
85,720.00,0.00,0.59,____,_____
85,860.00,0.00,0.00,____,_____
85,776.00,0.00,0.00,____,_____
85,836.00,0.00,0.29,____,_____
85,812.00,0.00,0.59,____,_____
85,636.00,0.00,0.00,____,_____
85,924.00,0.00,0.00,____,_____
85,484.00,0.00,0.00,____,_____
85,504.00,0.00,0.59,____,_____
85,628.00,0.00,0.00,____,_____
86,664.00,0.00,0.00,____,_____
86,856.00,0.00,0.00,____,_____
86,844.00,0.00,0.00,____,_____
86,688.00,0.00,0.00,____,_____
86,876.00,0.00,0.00,____,_____
86,640.00,0.00,0.59,____,_____
86,840.00,0.00,0.00,____,_____
86,900.00,0.00,0.00,____,_____
